participant,grade,task,event_start,event_q,event_t,event_a1,event_a2,event_a3,event_a4,event_a5,event_a6,event_a7,event_a8,score_a1,conf_a1,score_a2,conf_a2,score_a2,conf_a2,score_a3,conf_a3,score_a3,conf_a3,score_a4,conf_a4,score_a4,conf_a4,score_a5,conf_a5,score_sum,conf_ave,survay_1,survay_2,survay_3,survay_4,survay_5,survay_6,survay_7,survay_8,survay_9,survay_10,survay_11,survay_12,survay_13
1,3,A,5,,7,33,35,37,53,56,58,60,62,1,80,1,80,0,40,1,40,1,40,0,80,0,60,0,60,4,60,4,5,3,4,3,4,4,3,2,4,3,3,3
2,2,B,3,4,5,12,14,26,28,30,32,34,36,0,80,1,40,0,60,0,60,0,60,1,60,0,80,1,100,3,67.5,3,3,4,3,2,2,4,3,3,4,3,2,2
3,3,A,2,,4,7,9,11,13,15,17,20,24,0,0,0,40,1,0,0,40,0,20,1,60,1,40,1,40,4,30,3,4,4,4,3,4,4,3,5,5,2,4,3
4,2,B,2,3,4,13,15,35,49,52,55,57,59,0,40,1,60,0,20,0,60,0,60,0,80,0,80,0,60,1,57.5,4,2,4,1,2,4,3,5,3,4,2,2,2
5,2,B,2,3,4,7,9,11,13,15,17,19,22,0,40,1,40,0,40,0,40,0,40,0,60,0,60,0,60,1,47.5,5,4,5,3,1,1,3,4,3,6,5,3,2
6,4,A,2,,4,14,16,18,20,22,24,26,28,0,60,0,40,0,40,0,60,0,40,1,80,0,60,0,60,1,55,4,3,3,5,4,2,5,3,3,5,2,3,4
7,3,A,3,,24,27,29,31,33,35,37,40,42,0,60,1,40,0,40,1,60,0,60,0,80,0,100,1,60,3,62.5,4,1,5,4,4,1,1,1,2,6,1,2,3
8,4,B,2,3,4,6,8,10,12,14,16,18,21,0,0,0,40,0,0,0,60,0,60,0,80,0,60,0,80,0,47.5,4,3,5,6,3,3,3,2,5,5,2,4,4
9,3,B,3,4,5,7,9,11,13,15,17,19,21,0,60,0,40,0,40,0,60,0,60,1,80,0,60,0,60,1,57.5,3,4,4,3,4,4,3,4,4,5,4,3,3
10,2,A,3,,4,11,13,15,17,19,21,23,25,0,60,0,40,0,0,0,20,0,40,0,60,0,40,0,60,0,40,3,1,4,2,1,3,1,3,1,4,1,1,2
11,1,A,2,,3,5,7,9,11,13,16,18,20,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,3,4,3,3,4,6,3,3,4,4,3,4,1
12,2,A,2,,3,5,7,9,11,13,15,17,19,0,40,0,40,0,60,0,40,0,60,0,80,1,40,0,60,1,52.5,3,2,4,4,2,3,4,2,2,5,2,2,2
13,3,B,3,4,5,7,9,11,13,15,17,19,21,0,60,0,60,0,80,0,80,0,80,0,80,1,80,0,60,1,72.5,2,4,4,1,4,5,2,4,5,4,3,2,3
14,3,B,3,4,11,13,15,17,19,21,23,25,27,0,40,0,40,0,20,0,20,0,20,0,40,1,40,0,60,1,35,4,3,3,4,3,3,4,5,3,4,3,3,3